ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,e_pmRA,e_pmDEC,plx,e_plx,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,contratio,duplicate_id,gaiabp,e_gaiabp,gaiarp,e_gaiarp,e_RA,e_Dec,dstArcSec,moca_aid,moca_mtid,designation,age,eage,sep,n_sectors
251149265,42.9987134029463,55.2169876719797,28.5812,-25.183,14.0206,STAR,tmgaia2,20190415,0.113036,0.0859791,6.79401,0.0538115,16.54,0.366,12.447,0.021,11.803,0.021,11.591,0.019,3367.0,157.0,4.75385,0.00763962,nan,nan,0.481263,0.0144909,0.479236,0.0204259,4.29934,0.205293,DWARF,0.0268183537,0.00665356359,146.58,1.165,0.156482,0.07631063,,16.7102,0.006429,14.0866,0.003054,1.97753051827555,1.33311510007031,0.0,SAPER,HM,Gaia DR2 453703959854582528,79.0,1.9,0.00016925490984973204,1.0
251246113,43.5729026718172,59.1864680417679,23.1803,-20.827,13.9505,STAR,tmgaia2,20190415,0.0826884,0.0901351,5.4492,0.0421778,16.245,0.229,12.502,0.022,11.772,0.023,11.544,0.022,3510.0,157.0,4.67773,0.0103851,nan,nan,0.568844,0.017148,0.561893,0.0204419,3.05263,0.165243,DWARF,0.04424962,0.0106399506,182.562,1.4165,0.226043,0.06933614,,16.3602,0.006442,13.9963,0.002395,1.47427146752004,1.39754144614659,0.0,SAPER,HM,Gaia DR2 461461804664397056,79.0,1.9,0.00013847984474418248,1.0
251333851,44.2902445194444,55.1831510629556,28.6725,-26.0689,12.7975,STAR,tmgaia2,20190415,0.0694398,0.0668875,6.75686,0.0369505,15.58,0.2,11.258,0.022,10.619,0.021,10.406,0.02,3509.0,157.0,4.57365,0.0124221,nan,nan,0.694936,0.0206092,0.659886,0.0202699,1.96623,0.11473,DWARF,0.065965645,0.0157994,147.373,0.8085,0.00611096,0.076166,,15.2096,0.008828,12.8441,0.004221,1.21468931086189,1.03706796739318,0.0,SAPER,HM,Gaia DR2 459462170968707456,79.0,1.9,0.0001722162942356071,1.0
251412622,44.7930305274786,54.3856797289793,25.1631,-20.2134,8.62416,STAR,tmgaia2,20190415,0.0975238,0.101048,5.90184,0.0566504,8.87,0.03,8.264,0.034,8.151,0.029,8.065,0.018,8695.0,731.72,4.41323,0.0940357,nan,nan,1.51861,0.0531759,2.178,0.380858,0.6219,0.148223,DWARF,11.8758459,3.40333,168.638,1.6235,0.198428,0.0101479106,,8.95026,0.000843,8.56978,0.001244,1.69985260002817,1.56670563703802,0.0,SAPER,HM,Gaia DR2 453366169267421824,79.0,1.9,0.00014347186605798845,2.0
251434330,44.8972250543114,57.5279094630283,35.9293,-33.486,12.6772,STAR,tmgaia2,20190415,0.0488487,0.0458569,8.71881,0.0249136,14.62,0.09,11.274,0.022,10.584,0.021,10.395,0.019,3655.0,157.0,4.65759,0.0105628,nan,nan,0.592462,0.0174984,0.581895,0.0202218,2.7981,0.1509,DWARF,0.056437172,0.0130940378,114.316,0.328,0.0140572,0.07755472,,14.8512,0.005092,12.7067,0.00101,0.86391536795862,0.710993433049784,0.0,SAPER,HM,Gaia DR2 461060551639685888,79.0,1.9,0.00021824455434775594,2.0
251493803,45.2220524511763,56.760426606675,28.8442,-26.7506,11.4097,STAR,tmgaia2,20190415,0.0870458,0.0632733,6.8363,0.0334409,11.924,0.025,10.574,0.023,10.059,0.021,9.959,0.018,4894.0,129.119,4.59514,0.092247,nan,nan,0.746463,0.0501608,0.8,0.101047,1.92338,0.508008,DWARF,0.287983537,0.0104800146,145.666,0.715,0.00813536,0.107902735,,12.5178,0.008249,11.3508,0.006002,1.53371477080757,0.980998711258102,0.0,SAPER,HM,Gaia DR2 459850672230999424,79.0,1.9,0.00017479597241444952,1.0
251496897,45.191369158536,57.8349991851734,35.4897,-32.777,14.3614,STAR,tmgaia2,20190415,0.149335,0.131599,8.66502,0.0696639,17.28,0.2,12.645,0.025,11.98,0.021,11.741,0.02,3183.0,157.0,4.84353,0.00247766,nan,nan,0.381805,0.0116097,0.370804,0.0204212,6.66223,0.240673,DWARF,0.013481074,0.00350054866,115.036,0.929,0.011799,0.0593953431,,17.4564,0.010861,14.4566,0.004154,2.64488872398113,2.04040909410994,0.0,SAPER,HM,Gaia DR2 461072508828461824,79.0,1.9,0.00021467305086931554,1.0
251546956,45.5295887269861,54.4311316423816,27.3226,-25.9367,14.2005,STAR,tmgaia2,20190415,0.118876,0.13083,6.40623,0.0620702,16.692,0.194,12.622,0.022,11.961,0.021,11.745,0.019,3388.0,157.0,4.75758,0.0076207,nan,nan,0.477026,0.0144939,0.474898,0.0205214,4.37496,0.209913,DWARF,0.0270117316,0.00668488,155.421,1.5105,0.0671804,0.01278249,,16.846,0.012486,14.2632,0.003345,2.07237817696484,2.02836768847819,0.0,SAPER,HM,Gaia DR2 447361152152230656,79.0,1.9,0.0001673910839539435,1.0
251818063,47.3230244968218,54.7651589083696,27.0119,-26.0681,11.8024,STAR,tmgaia2,20190415,0.0612543,0.055275,6.38686,0.0307632,12.892,0.057,10.913,0.02,10.388,0.018,10.257,0.016,4901.92,113.84,4.54874,0.109473,-0.043,0.049,0.788405,0.0803917,0.802,0.0958595,1.63654,0.593416,DWARF,0.323338926,0.05320925,155.87,0.753,0.167181,0.03138066,,13.0307,0.006206,11.7559,0.004297,1.06950459451373,0.857008099311497,0.0,SAPER,HM,Gaia DR2 447440007751299072,79.0,1.9,0.00016679031553721676,1.0
251875733,9.27134217885999,-31.6969756987905,18.1623,4.30649,9.5277,STAR,tmgaia2,20190415,0.0708836,0.0581452,4.0398,0.0726177,9.826,0.004,9.233,0.026,9.117,0.021,9.072,0.021,7171.0,129.887,4.25912,0.0859751,nan,nan,1.55429,0.0663242,1.6,0.262484,0.426112,0.0977898,DWARF,5.75543356,0.313432,245.884,4.425,0.0146999,0.000308166636,,9.93198,0.000888,9.48808,0.000862,1.14321073504882,0.901824099177676,0.0,SBL1,HM,Gaia DR2 2317257009357728000,137.1,20.0,8.30342286726719e-05,1.0
