Target_ID,Prot,e_Prot,Good,EB?,flare_rate,age,Teff,Bp-Rp,mass,e_mass,Kmag,e_Kmag,Vmag,e_Vmag
440681514,8.42248232147126,1.05027022775332,0.0,,0.048605741001854615,127.4,3145.0,3.079699999999999,0.204261,0.0205986,13.346,0.033,18.65,0.2
440681478,12.0789110917119,2.98929677702134,0.0,,0.048662895827261486,127.4,3079.0,3.225900000000003,0.183255,0.0212785,13.741,0.044,nan,nan
440681442,12.8634505219464,0.245500078801196,0.0,,0.05007338465774595,127.4,3160.0,3.048700000000002,0.342022,0.0209189,12.282,0.023,nan,nan
440681391,15.3161067147888,0.248358123922337,0.0,,0.16606092947913487,127.4,3224.0,2.9140000000000015,0.312774,0.0205428,12.445,0.023,nan,nan
440681387,1.20638022728547,0.00645131575164105,0.0,,0.14256057464680047,127.4,3491.0,2.3946000000000005,0.595701,0.0204969,10.686,0.018,15.368,0.103
440681381,7.79514898064588,1.09835852077006,0.0,,0.016002530419347672,127.4,3188.0,2.9898999999999987,0.235856,0.0210038,13.151,0.033,nan,nan
440681343,0.532587863476053,0.00137479944796144,0.0,,0.17891004112038905,127.4,3359.0,2.639499999999998,0.534319,0.0204712,11.089,0.018,16.163,0.114
440681328,14.5559009773046,0.275937674575814,0.0,,0.09455317353898497,127.4,3165.0,3.0387000000000004,0.262242,0.0207423,12.814,0.025,18.3,0.2
439791609,1.76065594940379,0.168893346835567,0.0,,0.09553001840016177,5.0,6269.0,0.7556899999999995,1.22,0.183493,8.948,0.019,10.326,0.005
437842546,9.03393386458949,2.03604494808882,0.0,,0.044533632280655815,8.5,3152.0,3.0656000000000017,0.4699,0.0213949,11.932,0.024,nan,nan
434567711,7.11448280161724,0.711448280161724,0.0,,0.0623848775508688,5.0,5579.0,0.9093,0.98,0.120757,9.359,0.019,11.112,0.012
4342429,0.379781274039659,0.0350929632403914,0.0,,0.13798333713038757,50.0,3136.0,3.100900000000001,0.471564,0.0205342,10.933,0.025,16.699,1.133
434239754,8.86790373442241,0.0344024420603172,0.0,,0.10745865601783086,127.4,3010.0,3.385500000000002,0.262055,0.0209523,12.43,0.025,19.0,0.2
433351266,5.6110532384035,0.56110532384035,0.0,,0.18532741200261915,79.0,7593.0,0.3484700000000007,1.765,0.290754,7.461,0.017,8.23,0.03
427735624,13.5651047299617,0.799160242612934,0.0,,0.097451869164033,127.4,3138.0,3.0958999999999985,0.23301,0.0211238,13.134,0.039,19.1,0.2
440681919,7.69053503970145,0.690541544622813,0.0,,0.016249887153561432,127.4,3073.0,3.238400000000002,0.214793,0.0212034,13.372,0.035,nan,nan
427735418,13.154432404822,0.577868666374948,0.0,,0.0485985868674323,127.4,3033.0,3.3302000000000014,0.179828,0.0210503,13.658,0.046,19.19,0.2
427580743,13.4560754476795,2.35255848118552,0.0,,0.04650345031154213,127.4,3076.0,3.230599999999999,0.185809,0.0209229,13.452,0.04,nan,nan
414988526,15.3540063758721,3.36166916549178,0.0,,0.03361099802793711,126.0,5320.48,1.0121000000000002,0.917,0.113489,9.523,0.021,11.471,0.058
413503220,6.78941226642219,1.5728309569221,0.0,,0.13885863571319637,5.0,4221.0,1.6579999999999995,0.66,0.0799873,10.525,0.023,13.746,0.092
410868140,6.92295533237501,1.64775425317157,0.0,,0.18492656336536728,79.0,3249.0,2.8621999999999996,0.474424,0.0209635,11.979,0.028,nan,nan
410815162,18.6805767819328,4.74930332088218,0.0,,0.16372507493171465,79.0,4549.0,1.3727,0.717,0.108104,10.585,0.026,13.203,0.069
410808369,13.3123172110387,0.231888934757645,0.0,,0.09181070528417118,79.0,3450.0,2.4665,0.519672,0.0205249,11.747,0.021,16.53,0.2
410741165,13.4490891363908,0.203418033536311,0.0,,0.07527106348880935,79.0,3247.0,2.866299999999999,0.558704,0.0207083,11.398,0.023,nan,nan
409869624,13.2551613938955,0.161919921873868,0.0,,0.2586641664814102,79.0,3111.0,3.1539,0.432388,0.020791,11.899,0.023,nan,nan
409778552,7.98045682547362,0.798045682547362,0.0,,0.2709043065097456,79.0,7465.0,0.43544999999999945,1.714,0.289598,7.857,0.021,8.601,0.002
408217918,3.50733767527559,0.350733767527559,0.0,,0.07856861588217473,195.0,3161.0,3.0473000000000017,0.175783,0.0201691,12.705,0.026,nan,nan
416092479,14.0206395452858,0.265659642688418,0.0,,0.03733565288912253,79.0,3236.0,2.8881000000000014,0.370173,0.021115,12.635,0.028,nan,nan
407930609,1.93158874026561,0.172078981980077,0.0,,0.07690836362951468,127.4,3487.0,2.4016,0.455836,0.0207095,11.583,0.024,16.23,0.366
407929557,3.88808499862367,0.665548551721012,0.0,,0.14376927299080805,127.4,3032.0,3.332600000000001,0.261494,0.0215088,12.788,0.028,19.0,0.2
407225846,4.083399708559,,0.0,,0.12447028421187607,5.0,3503.0,2.3756000000000004,0.594419,0.0204754,11.655,0.024,16.36,0.137
406863344,7.414640237226,0.846703851776032,0.0,,0.037411092215502116,5.0,3026.0,3.3476,0.3385,0.0227192,13.408,0.045,nan,nan
406860269,7.51627652573405,1.59905464736117,0.0,,0.046519686691701374,5.0,3486.0,2.4045000000000023,0.444248,0.02059,12.254,0.025,16.811,0.0461
405490101,0.487683811213306,0.00114907648818983,0.0,,0.17827585190413672,127.4,3269.0,2.8211000000000013,0.466429,0.0241082,11.262,0.02,16.38,0.2
405490026,3.02750182738821,0.286030678104037,0.0,,0.09403513997020552,127.4,3455.0,2.457600000000001,0.480058,0.0207218,11.489,0.022,16.1462,0.0465
405484528,13.8333259470274,0.313131989645359,0.0,,0.07852985946408815,127.4,3045.0,3.301499999999999,0.335328,0.0226159,12.501,0.019,nan,nan
405484386,3.30060849885121,0.869774567896047,0.0,,0.0802050920806647,127.4,3154.0,3.0611999999999995,0.353052,0.0233762,12.272,0.024,nan,nan
405484378,12.9610266629897,0.508552616030541,0.0,,0.06484058141955307,127.4,3292.0,2.7736,0.363516,0.0206051,12.158,0.019,17.2,0.2
407930243,1.97771191487676,0.0862719860567148,0.0,,0.04709298931632245,127.4,3091.0,3.1974,0.300045,0.0207516,12.552,0.026,18.56,0.2
416095655,6.45614262863609,0.331087841204879,0.0,,0.037513676861355705,79.0,3100.0,3.1796000000000006,0.407202,0.0218403,12.494,0.024,nan,nan
416436819,16.7572138035773,2.69176751193517,0.0,,0.04472121999070451,126.0,6336.0,0.7058,1.253,0.194517,9.259,0.022,10.725,0.008
417741447,10.5850633775984,0.356682542169736,0.0,,0.1121777879720717,126.0,3702.0,2.0833000000000013,0.594413,0.0204507,11.757,0.023,15.552,0.263
427580717,12.8237066263296,0.432696627425411,0.0,,0.20872655567122952,127.4,3235.0,2.8904000000000014,0.366849,0.0209249,12.201,0.025,nan,nan
427579770,13.0189454065598,0.628356835580612,0.0,,0.07529529170749227,127.4,3147.0,3.077400000000001,0.242769,0.0212904,13.386,0.034,nan,nan
427579739,13.7114348712927,3.03725659696174,0.0,,0.06080251527001412,127.4,3176.0,3.0147000000000013,0.260156,0.0206435,12.73,0.025,18.03,0.2
427579296,0.666902384333992,0.00655870498838484,0.0,,0.08118159071455273,127.4,3315.0,2.727499999999999,0.38585,0.0208466,12.019,0.022,17.51,0.2
427546156,4.41290002255503,0.71631365139774,0.0,,0.016238933562888257,127.4,3025.0,3.348700000000001,0.194406,0.0208819,13.388,0.039,19.47,0.2
427545878,12.9672986121679,0.518153864669607,0.0,,0.03225889872487277,127.4,3223.0,2.915899999999999,0.285106,0.020859,12.725,0.028,17.93,0.2
427545206,3.25393816935238,0.137167823712846,0.0,,0.043495455796683735,127.4,3017.0,3.368400000000001,0.225454,0.020836,13.086,0.028,19.47,0.2
426828805,0.850022469536671,0.00319159848831697,0.0,,0.05950498137500665,8.5,2933.0,3.5893999999999995,0.527614,0.0222196,11.723,0.028,nan,nan
426828801,0.85004242832023,0.00329606563829381,0.0,,0.02975593905623126,8.5,2904.0,3.682599999999999,0.531371,0.0222777,11.797,0.026,nan,nan
426753957,16.8852696523387,3.8845694232367,0.0,,0.09041237233834294,79.0,3178.0,3.009400000000001,0.415775,0.0218555,12.572,0.028,nan,nan
